problem_id,actionability1,actionability2,justification1,justification2,c(pre)1,c(pre)2,avg(c(pre)),c(after)1,c(after)2
0,4,4,4,4,2,2,2.0,4,4
1,4,4,4,4,2,2,2.0,3,4
2,4,4,3,4,4,3,3.5,4,4
3,4,4,4,4,4,4,4.0,4,4
4,4,4,2,4,1,3,2.0,1,4
5,4,4,4,4,1,1,1.0,3,4
6,4,4,4,4,3,4,3.5,4,4
7,4,4,3,4,3,4,3.5,4,4
8,4,4,4,4,2,2,2.0,3,4
9,4,4,4,4,1,1,1.0,4,4
10,4,4,4,4,4,3,3.5,4,4
11,4,4,4,4,4,4,4.0,4,4
12,4,4,4,4,1,1,1.0,3,3
13,4,4,4,4,2,2,2.0,4,4
14,4,4,4,4,3,3,3.0,4,4
15,4,4,4,4,3,4,3.5,4,4
16,4,4,4,4,3,3,3.0,4,4
17,4,4,4,4,2,1,1.5,3,4
18,4,4,4,4,4,4,4.0,4,4
19,4,4,4,4,4,4,4.0,4,4
20,4,3,3,3,3,3,3.0,4,4
21,3,3,3,3,2,2,2.0,4,4
22,4,4,3,3,4,4,4.0,4,4
23,4,3,4,3,4,3,3.5,4,4
24,4,4,4,4,2,2,2.0,4,4
25,4,4,4,4,2,2,2.0,4,4
26,4,4,4,4,3,3,3.0,4,4
27,4,2,3,2,4,4,4.0,4,4
28,4,4,4,4,2,2,2.0,4,4
29,1,4,1,4,3,2,2.5,4,3
30,4,4,4,4,3,4,3.5,4,4
31,4,4,4,4,4,4,4.0,4,3
32,4,4,4,4,1,3,2.0,4,4
33,4,4,4,3,2,3,2.5,4,4
34,4,3,4,2,3,3,3.0,3,4
35,4,4,4,4,3,4,3.5,4,4
36,4,4,4,4,2,2,2.0,4,4
37,4,4,3,4,2,2,2.0,3,4
38,4,4,4,4,4,4,4.0,4,4
39,4,4,4,3,4,4,4.0,4,4
40,3,3,3,3,1,1,1.0,2,3
41,4,4,3,4,3,2,2.5,4,4
42,4,4,4,3,3,4,3.5,4,3
43,4,4,4,4,4,4,4.0,4,4
44,4,4,4,4,2,2,2.0,4,4
45,4,3,4,4,2,2,2.0,4,4
46,4,4,4,4,3,3,3.0,4,4
47,4,4,3,4,3,3,3.0,4,4
48,4,4,4,4,2,2,2.0,4,4
49,4,4,4,4,1,2,1.5,4,4
50,4,4,4,3,3,3,3.0,4,4
51,4,4,4,4,4,3,3.5,3,4
52,4,4,4,4,2,2,2.0,4,4
53,4,4,4,4,1,2,1.5,4,4
54,4,4,4,4,3,3,3.0,4,4
55,4,4,4,4,4,3,3.5,4,4
56,4,4,4,4,2,2,2.0,3,4
57,4,4,4,3,2,2,2.0,4,3
58,4,4,3,4,4,3,3.5,3,4
59,4,4,4,4,4,3,3.5,4,4
60,4,4,4,4,2,2,2.0,4,4
61,4,4,4,4,2,1,1.5,4,3
62,4,4,4,3,3,3,3.0,4,3
63,4,4,4,4,4,4,4.0,4,4
64,4,4,4,4,3,3,3.0,4,4
65,4,4,4,4,2,2,2.0,4,4
66,4,4,4,4,4,3,3.5,4,4
67,3,4,3,4,4,4,4.0,4,4
68,4,4,4,4,2,2,2.0,4,4
69,4,4,4,4,2,2,2.0,3,4
70,4,4,4,4,4,3,3.5,4,4
71,4,4,3,4,3,4,3.5,4,4
72,4,4,4,4,3,2,2.5,4,4
73,4,4,4,4,3,2,2.5,4,4
74,4,4,4,4,3,4,3.5,4,4
75,4,4,4,3,4,4,4.0,4,4
76,4,4,4,4,2,2,2.0,4,4
77,4,4,4,4,3,3,3.0,4,4
78,4,4,4,3,3,4,3.5,4,4
79,4,4,4,4,1,3,2.0,3,4
80,4,4,4,4,3,3,3.0,4,4
81,4,4,4,4,2,2,2.0,3,4
82,4,4,4,4,4,4,4.0,4,4
83,4,4,4,4,4,4,4.0,4,4
84,4,4,4,4,2,2,2.0,4,4
85,4,4,4,4,1,2,1.5,3,4
86,4,4,4,4,4,3,3.5,4,4
87,4,3,4,3,3,4,3.5,4,3
88,4,4,4,4,2,3,2.5,4,4
89,4,4,4,4,2,2,2.0,4,4
90,4,4,4,4,4,4,4.0,4,4
91,4,4,4,4,3,4,3.5,4,3
92,4,4,4,4,2,2,2.0,4,3
93,4,4,4,4,2,2,2.0,3,4
94,4,4,4,4,3,3,3.0,4,4
95,4,4,3,3,4,3,3.5,4,3
96,4,4,4,3,2,3,2.5,4,3
97,4,4,4,4,2,1,1.5,4,3
98,4,4,4,4,3,3,3.0,4,4
99,4,4,4,4,4,4,4.0,4,4
